Name: 靖天资讯, URL: http://pullpackage.alivecdn.com/live/jSi62v69ef4x6iYBScl4GTgr9WaWuRtR1v7DfyIDrCzlEjd4oO.flv, From: subscribe, IPv_Type: ipv6, Location: 新加坡, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天资讯, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv065, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 703 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天电影, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv061, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 556 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天欢乐, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv054, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 549 ms, Speed: 0.00 M/s, Resolution: None
Name: 龍華偶像台, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-longturn12, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1175 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖洋戲劇台, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv045, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 758 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖洋卡通, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv057, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 752 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖洋卡通, URL: http://104.244.79.187:4994/proxy?url=http%3A//104.244.79.187%3A5050/litv/4gtv-4gtv057, From: subscribe, IPv_Type: ipv4, Location: 卢森堡, ISP: , Date: None, Delay: 2572 ms, Speed: 0.00 M/s, Resolution: None
Name: 寰宇新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 寰宇新闻, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-longturn14, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 543 ms, Speed: 0.00 M/s, Resolution: None
Name: 寰宇新闻台湾, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
